id,species_id,height,weight,base_experience,order,is_default,name,sprites
39,39,5,55,95,63,1,jigglypuff,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/jigglypuff.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/jigglypuff.gif""}"
40,40,10,120,196,64,1,wigglytuff,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/wigglytuff.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/wigglytuff.gif""}"
41,41,8,75,49,65,1,zubat,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/zubat.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/zubat.gif""}"
42,42,16,550,159,66,1,golbat,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/golbat.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/golbat.gif""}"
43,43,5,54,64,68,1,oddish,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/oddish.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/oddish.gif""}"
44,44,8,86,138,69,1,gloom,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/gloom.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/gloom.gif""}"
45,45,12,186,221,70,1,vileplume,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/vileplume.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/vileplume.gif""}"
46,46,3,54,57,72,1,paras,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/paras.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/paras.gif""}"
47,47,10,295,142,73,1,parasect,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/parasect.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/parasect.gif""}"
48,48,10,300,61,74,1,venonat,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/venonat.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/venonat.gif""}"
49,49,15,125,158,75,1,venomoth,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/venomoth.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/venomoth.gif""}"
50,50,2,8,53,76,1,diglett,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/diglett.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/diglett.gif""}"
51,51,7,333,149,78,1,dugtrio,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/dugtrio.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/dugtrio.gif""}"
52,52,4,42,58,80,1,meowth,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/meowth.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/meowth.gif""}"
53,53,10,320,154,82,1,persian,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/persian.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/persian.gif""}"
54,54,8,196,64,84,1,psyduck,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/psyduck.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/psyduck.gif""}"
55,55,17,766,175,85,1,golduck,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/golduck.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/golduck.gif""}"
56,56,5,280,61,86,1,mankey,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/mankey.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/mankey.gif""}"
57,57,10,320,159,87,1,primeape,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/primeape.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/primeape.gif""}"
58,58,7,190,70,88,1,growlithe,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/growlithe.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/growlithe.gif""}"
59,59,19,1550,194,89,1,arcanine,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/arcanine.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/arcanine.gif""}"
60,60,6,124,60,90,1,poliwag,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/poliwag.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/poliwag.gif""}"
61,61,10,200,135,91,1,poliwhirl,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/poliwhirl.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/poliwhirl.gif""}"
62,62,13,540,230,92,1,poliwrath,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/poliwrath.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/poliwrath.gif""}"
63,63,9,195,62,94,1,abra,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/abra.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/abra.gif""}"
64,64,13,565,140,95,1,kadabra,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/kadabra.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/kadabra.gif""}"
65,65,15,480,225,96,1,alakazam,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/alakazam.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/alakazam.gif""}"
66,66,8,195,61,98,1,machop,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/machop.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/machop.gif""}"
67,67,15,705,142,99,1,machoke,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/machoke.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/machoke.gif""}"
68,68,16,1300,227,100,1,machamp,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/machamp.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/machamp.gif""}"
69,69,7,40,60,101,1,bellsprout,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/bellsprout.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/bellsprout.gif""}"
70,70,10,64,137,102,1,weepinbell,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/weepinbell.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/weepinbell.gif""}"
71,71,17,155,221,103,1,victreebel,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/victreebel.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/victreebel.gif""}"
72,72,9,455,67,104,1,tentacool,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/tentacool.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/tentacool.gif""}"
73,73,16,550,180,105,1,tentacruel,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/tentacruel.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/tentacruel.gif""}"
74,74,4,200,60,106,1,geodude,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/geodude.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/geodude.gif""}"
75,75,10,1050,137,108,1,graveler,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/graveler.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/graveler.gif""}"
76,76,14,3000,223,110,1,golem,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/golem.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/golem.gif""}"
77,77,10,300,82,112,1,ponyta,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ponyta.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ponyta.gif""}"
78,78,17,950,175,113,1,rapidash,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/rapidash.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/rapidash.gif""}"
79,79,12,360,63,114,1,slowpoke,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/slowpoke.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/slowpoke.gif""}"
80,80,16,785,172,115,1,slowbro,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/slowbro.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/slowbro.gif""}"
81,81,3,60,65,118,1,magnemite,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/magnemite.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/magnemite.gif""}"
82,82,10,600,163,119,1,magneton,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/magneton.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/magneton.gif""}"
,,,,,,,,
84,84,14,392,62,122,1,doduo,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/doduo.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/doduo.gif""}"
85,85,18,852,165,123,1,dodrio,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/dodrio.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/dodrio.gif""}"
86,86,11,900,65,124,1,seel,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/seel.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/seel.gif""}"
87,87,17,1200,166,125,1,dewgong,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/dewgong.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/dewgong.gif""}"
88,88,9,300,65,126,1,grimer,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/grimer.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/grimer.gif""}"
89,89,12,300,175,128,1,muk,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/muk.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/muk.gif""}"
90,90,3,40,61,130,1,shellder,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/shellder.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/shellder.gif""}"
91,91,15,1325,184,131,1,cloyster,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/cloyster.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/cloyster.gif""}"
92,92,13,1,62,132,1,gastly,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/gastly.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/gastly.gif""}"
93,93,16,1,142,133,1,haunter,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/haunter.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/haunter.gif""}"
94,94,15,405,225,134,1,gengar,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/gengar.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/gengar.gif""}"
95,95,88,2100,77,136,1,onix,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/onix.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/onix.gif""}"
96,96,10,324,66,139,1,drowzee,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/drowzee.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/drowzee.gif""}"
97,97,16,756,169,140,1,hypno,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/hypno.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/hypno.gif""}"
98,98,4,65,65,141,1,krabby,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/krabby.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/krabby.gif""}"
99,99,13,600,166,142,1,kingler,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/kingler.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/kingler.gif""}"
100,100,5,104,66,143,1,voltorb,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/voltorb.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/voltorb.gif""}"
101,101,12,666,172,144,1,electrode,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/electrode.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/electrode.gif""}"
102,102,4,25,65,145,1,exeggcute,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/exeggcute.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/exeggcute.gif""}"
103,103,20,1200,186,146,1,exeggutor,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/exeggutor.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/exeggutor.gif""}"
104,104,4,65,64,148,1,cubone,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/cubone.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/cubone.gif""}"
105,105,10,450,149,149,1,marowak,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/marowak.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/marowak.gif""}"
106,106,15,498,159,153,1,hitmonlee,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/hitmonlee.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/hitmonlee.gif""}"
107,107,14,502,159,154,1,hitmonchan,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/hitmonchan.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/hitmonchan.gif""}"
108,108,12,655,77,156,1,lickitung,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/lickitung.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/lickitung.gif""}"
109,109,6,10,68,158,1,koffing,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/koffing.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/koffing.gif""}"
110,110,12,95,172,159,1,weezing,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/weezing.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/weezing.gif""}"
111,111,10,1150,69,160,1,rhyhorn,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/rhyhorn.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/rhyhorn.gif""}"
112,112,19,1200,170,161,1,rhydon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/rhydon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/rhydon.gif""}"
113,113,11,346,395,164,1,chansey,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/chansey.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/chansey.gif""}"
114,114,10,350,87,166,1,tangela,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/tangela.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/tangela.gif""}"
115,115,22,800,172,168,1,kangaskhan,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/kangaskhan.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/kangaskhan.gif""}"
116,116,4,80,59,170,1,horsea,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/horsea.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/horsea.gif""}"
117,117,12,250,154,171,1,seadra,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/seadra.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/seadra.gif""}"
118,118,6,150,64,173,1,goldeen,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/goldeen.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/goldeen.gif""}"
119,119,13,390,158,174,1,seaking,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/seaking.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/seaking.gif""}"
120,120,8,345,68,175,1,staryu,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/staryu.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/staryu.gif""}"
121,121,11,800,182,176,1,starmie,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/starmie.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/starmie.gif""}"
,,,,,,,,
123,123,15,560,100,179,1,scyther,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/scyther.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/scyther.gif""}"
124,124,14,406,159,183,1,jynx,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/jynx.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/jynx.gif""}"
125,125,11,300,172,185,1,electabuzz,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/electabuzz.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/electabuzz.gif""}"
126,126,13,445,173,188,1,magmar,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/magmar.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/magmar.gif""}"
127,127,15,550,175,190,1,pinsir,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pinsir.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pinsir.gif""}"
128,128,14,884,172,192,1,tauros,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/tauros.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/tauros.gif""}"
129,129,9,100,40,193,1,magikarp,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/magikarp.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/magikarp.gif""}"
130,130,65,2350,189,194,1,gyarados,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/gyarados.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/gyarados.gif""}"
131,131,25,2200,187,196,1,lapras,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/lapras.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/lapras.gif""}"
132,132,3,40,101,197,1,ditto,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ditto.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ditto.gif""}"
133,133,3,65,65,198,1,eevee,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/eevee.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/eevee.gif""}"
134,134,10,290,184,199,1,vaporeon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/vaporeon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/vaporeon.gif""}"
135,135,8,245,184,200,1,jolteon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/jolteon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/jolteon.gif""}"
136,136,9,250,184,201,1,flareon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/flareon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/flareon.gif""}"
137,137,8,365,79,207,1,porygon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/porygon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/porygon.gif""}"
138,138,4,75,71,210,1,omanyte,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/omanyte.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/omanyte.gif""}"
139,139,10,350,173,211,1,omastar,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/omastar.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/omastar.gif""}"
140,140,5,115,71,212,1,kabuto,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/kabuto.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/kabuto.gif""}"
141,141,13,405,173,213,1,kabutops,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/kabutops.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/kabutops.gif""}"
142,142,18,590,180,214,1,aerodactyl,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/aerodactyl.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/aerodactyl.gif""}"
